season,week,n_participants,eliminated_name,judge_std,judge_mean,actual_rule,estimated_fan_votes,percentage_eliminated,rank_eliminated,same_result,actual_eliminated,pct_matches_actual,rank_matches_actual,pct_scores,rank_scores
1,2,6,Trista Sutter,1.3528661846539909,6.722222222222222,rank,[0.20515138 0.18482713 0.17843839 0.18846394 0.20212956 0.04098959],5,2,False,5,True,False,[0.42002742 0.325323   0.29414087 0.38681105 0.37568328 0.19801438],[ 2  9 11  5  5 10]
1,3,5,Evander Holyfield,1.4817407180595243,7.066666666666667,rank,[0.2298914  0.27200558 0.04117096 0.26567137 0.19126069],2,2,True,2,True,True,[0.45630649 0.47011879 0.16381247 0.51095439 0.39880786],[ 5  5 10  3  7]
1,4,4,Rachel Hunter,0.8498365855987974,7.666666666666667,rank,[0.25331812 0.40612386 0.12667587 0.21388214],2,3,False,2,True,False,[0.48157899 0.68873256 0.398415   0.43127344],[5 2 6 7]
2,1,10,Kenny Mayne,1.3102162671355697,6.5,rank,"[0.08970476 0.07323417 0.09187263 0.24310967 0.08836693 0.08277708
 0.1163396  0.08796238 0.11576461 0.01086818]",9,9,True,9,True,True,"[0.20765348 0.17579828 0.18418032 0.34054557 0.20118745 0.19046938
 0.23428831 0.14950084 0.23884153 0.07753484]",[ 7 15 12  8 10 13  4 17  4 19]
2,2,9,Tatum O'Neal,1.331274130045291,7.4074074074074066,rank,"[0.01380447 0.13911557 0.17448139 0.14426834 0.11748763 0.1162931
 0.09384738 0.10473592 0.09596618]",0,0,True,0,True,True,"[0.09880447 0.24911557 0.28448139 0.24426834 0.26248763 0.2312931
 0.21384738 0.18473592 0.23096618]",[17  8  6  9  5  9 11 15  9]
2,3,8,Giselle Fernandez,1.411756195508118,7.583333333333334,rank,"[0.15733285 0.17189882 0.13808974 0.14913185 0.10561496 0.02266825
 0.09441977 0.16084375]",5,6,False,5,True,False,"[0.30019    0.29277794 0.27545238 0.2974835  0.21001057 0.14354737
 0.17134285 0.30919539]",[ 6  6  9  5 13 13 15  3]
2,4,7,Master P,2.0919888225227425,7.523809523809524,rank,"[0.1606631  0.17477785 0.14941762 0.18197741 0.13701839 0.02133169
 0.17481393]",5,5,True,5,True,True,"[0.31889095 0.30768924 0.31397459 0.34653437 0.28891712 0.07196461
 0.35202912]",[ 8  9  7  3 11 14  3]
2,5,6,Tia Carrere,0.8906233078822999,8.388888888888888,rank,[0.02601914 0.1724967  0.20776584 0.17990592 0.18733724 0.22647515],0,0,True,0,True,True,[0.17171451 0.3314371  0.37332876 0.37858141 0.33965512 0.4052831 ],[12  9  5  5  8  3]
2,6,5,George Hamilton,1.0456258094238748,8.866666666666667,rank,[0.04902619 0.23785873 0.2494877  0.24138167 0.22224571],0,0,True,0,True,True,[0.22195852 0.44086625 0.47505161 0.414314   0.44780962],[9 6 2 6 5]
2,7,4,Lisa Rinna,0.97182531580755,8.5,rank,[0.07930081 0.32598514 0.25861831 0.33609573],0,0,True,0,True,True,[0.33910473 0.59559299 0.4595987  0.60570358],[7 3 7 2]
3,1,11,Tucker Carlson,1.326428401711472,6.424242424242423,percentage,"[0.10522504 0.10569654 0.08581059 0.1155503  0.10080275 0.09091577
 0.09232971 0.10402555 0.10910958 0.07079558 0.01973859]",10,10,True,10,True,True,"[0.18541372 0.20947013 0.17543323 0.2146069  0.22344426 0.20412332
 0.17723537 0.20779913 0.1798643  0.14626728 0.07634236]",[12  6 15  6  7 10 14  8 12 19 22]
3,2,10,Shanna Moakler,0.9189365834726814,7.666666666666666,percentage,"[0.1987237  0.08746456 0.06448335 0.09851518 0.08926562 0.08452398
 0.01157543 0.1547955  0.1058416  0.10481109]",6,6,True,6,True,True,"[0.29002805 0.19181238 0.17752682 0.22460213 0.18056997 0.1888718
 0.1072276  0.2547955  0.19714595 0.18741979]",[ 8 10 11  6 13 11 16  7 10 14]
3,3,9,Harry Hamlin,0.8606629658238706,7.666666666666667,percentage,"[0.0139603  0.11807513 0.07729983 0.12683566 0.12038573 0.1612658
 0.1510817  0.09975351 0.13134234]",0,0,True,0,True,True,"[0.12024049 0.24850991 0.20773461 0.23311586 0.22666592 0.25305324
 0.2573619  0.22052645 0.23279162]",[13  7  9  8  9 10  6 10 11]
3,4,8,Vivica A. Fox,0.9537935951882996,8.25,percentage,"[0.01979221 0.14436291 0.12464503 0.10477527 0.13480572 0.11970299
 0.15820896 0.19370692]",0,0,True,0,True,True,"[0.14100433 0.26557503 0.26100866 0.25123992 0.25601784 0.26111713
 0.25921906 0.30481803]",[12  7  8  8  8  8 10  8]
3,5,7,Willa Ford,0.45175395145262554,8.619047619047619,percentage,"[0.16055906 0.14842791 0.16709304 0.17979827 0.02070634 0.17795618
 0.1454592 ]",4,6,False,4,True,False,"[0.30973033 0.28654946 0.31626431 0.32896954 0.16987761 0.31055287
 0.27805589]",[ 5 10  4  2  8  8 12]
3,7,5,Jerry Springer,0.6912147117775906,9.0,percentage,[0.23346559 0.21216186 0.25058115 0.25528332 0.04850808],4,4,True,4,True,True,[0.43346559 0.42327297 0.45798855 0.46639443 0.21887845],[ 7  5  5  2 10]
3,8,4,Monique Coleman,0.24999999999999983,9.083333333333334,percentage,[0.06864225 0.32204289 0.29945864 0.30985622],0,0,True,0,True,True,[0.31176152 0.56974931 0.56092653 0.55756265],[8 3 4 4]
4,2,11,Paulina Porizkova,0.8538789577942648,7.424242424242423,percentage,"[0.09754847 0.12389891 0.08862075 0.08932111 0.11597445 0.10264677
 0.01013085 0.10340037 0.1096144  0.06886282 0.08998109]",6,2,False,6,True,False,"[0.18326276 0.21369483 0.16209014 0.1995252  0.2220969  0.18427943
 0.09584514 0.20135955 0.19532869 0.166822   0.17569537]",[12  6 20  9  4 15 17  7  9 13 13]
4,3,10,Shandi Finnessey,0.8137703743822469,7.2666666666666675,percentage,"[0.12460318 0.09704836 0.12088695 0.11720357 0.14408354 0.01219062
 0.07900155 0.12656037 0.08377697 0.09464488]",5,5,True,5,True,True,"[0.2163463  0.2071401  0.19428145 0.21353385 0.24958813 0.1085209
 0.18909329 0.22289064 0.19386872 0.20473663]",[12  7 14 11  6 16 10  8  9  8]
4,4,9,Leeza Gibbons,1.4609691054308165,7.037037037037037,percentage,"[0.13892982 0.12861219 0.11438108 0.10363873 0.11820859 0.12840823
 0.11111192 0.13420818 0.02250126]",8,8,True,8,True,True,"[0.22314034 0.25492798 0.19332845 0.21416504 0.2550507  0.24946086
 0.22163824 0.2815766  0.10671178]",[ 8  6 15 13  7  8 12  3 16]
4,5,8,Clyde Drexler,1.810463415200036,7.333333333333334,percentage,"[0.20309222 0.12468629 0.03404578 0.11637941 0.1227014  0.14044733
 0.12016982 0.13847775]",2,2,True,2,True,True,"[0.30536494 0.26104993 0.10790942 0.27547032 0.29315595 0.25976551
 0.21676073 0.2805232 ]",[ 7  8 16  9  6  7 13  6]
4,6,7,Heather Mills,1.0942024088643867,8.095238095238095,percentage,"[0.19425407 0.15847129 0.19413233 0.12705356 0.02312034 0.17250774
 0.13046066]",4,4,True,4,True,True,"[0.30601877 0.29964776 0.35883822 0.29175945 0.15841445 0.29603715
 0.28928419]",[ 8  8  3  7 12  9  8]
4,7,6,John Ratzenberger,1.2720281268728126,8.583333333333334,percentage,[0.03802194 0.18769578 0.15654032 0.16854864 0.23636727 0.21282605],0,0,True,0,True,True,[0.18365301 0.36245306 0.34747883 0.34330592 0.35934461 0.40376457],[11  6  6  7  7  3]
4,8,5,Billy Ray Cyrus,1.1803954139750517,8.366666666666667,percentage,[0.23993901 0.25061412 0.21392914 0.06085916 0.23465857],3,3,True,3,True,True,[0.42719    0.4617695  0.44500484 0.21225359 0.45378208],[ 6  4  5 10  5]
4,9,4,Ian Ziering,0.13819269959814184,9.875,percentage,[0.06029878 0.33265631 0.3148491  0.29219581],0,0,True,0,True,True,[0.30502452 0.58582086 0.56379425 0.54536037],[8 2 5 4]
5,1,12,Josie Maran,0.9374742794825669,7.138888888888888,percentage,"[0.1076943  0.08174064 0.07238876 0.1240352  0.09956253 0.01365745
 0.08997773 0.08684809 0.07401763 0.0780147  0.0646686  0.10739437]",5,5,True,5,True,True,"[0.18940636 0.17512586 0.17355608 0.20574726 0.16960144 0.07591426
 0.17168979 0.18412436 0.16740284 0.15194466 0.14638066 0.18910643]",[ 7 10 11  6 15 24 10  8 12 18 16  8]
5,2,11,Albert Reed,1.0756508696544755,7.212121212121212,percentage,"[0.10234175 0.1150033  0.0598158  0.14273947 0.06910045 0.00979163
 0.06803517 0.07510907 0.14463102 0.08253525 0.13089709]",5,5,True,5,True,True,"[0.19057704 0.20323859 0.1690595  0.23097477 0.15733574 0.09802693
 0.18148054 0.17174772 0.20765623 0.18337558 0.20652735]",[10  9 12  7 13 16 10 11 12  9 13]
5,3,10,Wayne Newton,1.0376254944182253,7.966666666666667,percentage,"[0.12416166 0.08150086 0.12780383 0.10081551 0.13410471 0.11526225
 0.09626767 0.01931648 0.09758369 0.10318333]",7,7,True,7,True,True,"[0.22039597 0.19447157 0.24077454 0.20960212 0.22197082 0.21568066
 0.20923838 0.09463029 0.2063703  0.18686534]",[10 10  3 10  9 10  9 20 11 14]
5,4,9,Floyd Mayweather Jr. ,0.7370277311900889,8.666666666666664,percentage,"[0.13502302 0.08237839 0.07919485 0.13273876 0.01678042 0.17687704
 0.10640374 0.11726943 0.15333435]",4,4,True,4,True,True,"[0.25040764 0.1934895  0.20739997 0.24812338 0.11507102 0.29226165
 0.21751485 0.22838054 0.24735144]",[ 5 12  9  6 17  3 11 10 11]
5,5,8,Mark Cuban,0.9344858955002417,8.291666666666666,percentage,"[0.13133093 0.12814346 0.15561243 0.09956856 0.14482966 0.19124643
 0.12832985 0.02093868]",7,7,True,7,True,True,"[0.2619842  0.25879673 0.29631595 0.2251967  0.26040755 0.33697507
 0.23385749 0.12646632]",[ 7  9  4 12  9  2 12 15]
5,6,7,Sabrina Bryan,0.8676603408708857,8.571428571428571,percentage,"[0.16642888 0.17929933 0.02157876 0.14296665 0.15419734 0.17769814
 0.1578309 ]",2,2,True,2,True,True,"[0.30531777 0.30152155 0.16046765 0.29296665 0.3097529  0.34436481
 0.28560868]",[ 7  8 11  9  7  3 10]
5,7,6,Jane Seymour,0.2151657414559675,8.666666666666666,percentage,[0.19998839 0.02889606 0.19068815 0.21234935 0.18464091 0.18343714],1,1,True,1,True,True,[0.36344993 0.18915247 0.36055994 0.37901602 0.35771783 0.35010381],[ 7 12  5  4  5  8]
5,8,5,Cameron Mathison,0.5436502143433365,8.766666666666667,percentage,[0.04361217 0.25946521 0.22739865 0.21878589 0.25073808],0,0,True,0,True,True,[0.23752852 0.44957927 0.44412869 0.43171365 0.43704987],[8 5 4 6 7]
